category;position;description
Mobile & Embedded;Telco Specialist;     Nokia Wroc�aw / Oferty pracy    Telco Specialist    Daily activities Network Engineering department creates unique connection between telco domain know-how, wide range of well-designed tools and data science capabilities. Our main target is to�provide in-depth technical expertise for Radio and Cloud Core products including emerging topics such as IoT or 5G. We�are looking for passionate people who want to�be part of ongoing transition to�NextGen technology. Our wide spectrum of interest in mobile access systems will help you to�find your spot among us and boost your competences to�another level! Joining us, you get multiple opportunities to�evolve your skills by: contributing to�strategic projects influencing customer experience around the globe / delivering trainings and promoting outcome of your research work / diverse learning possibilities including series of internal trainings and mentoring from experience telecom experts.    We work with:   cutting edge technologies (Cloud, 5G, IoT) � exploring newest concepts and solutions mobile networks of tomorrow (LTE, Single RAN) � studying impact of new functionalities tools for network dimensioning and configuration overview     Our expectations:   Master�s or Bachelor�s degree in Engineering, Telecommunications, Computer Science, Software Technology or equivalent education understanding mobile telecommunications networks (e.g. LTE Radio/Core), incl. network architecture and protocols be passionate about new technologies like Cloud/Internet of Things motivation to expand the knowledge good presentation and teamwork skills good communication in English (both written and spoken) ready to relocate to Wroclaw, living in or nearby    
Other;Build Manager;     Nokia Wroc�aw / Oferty pracy    Build Manager    Daily activities: You will be responsible for compiling source code into binary code process automation in cutting edge RF SW projects. On daily basis, you will be cooperating with system architects and other stakeholders involved in a�SW project.    We work with   CMake Linux Yocto/Bitbake JIRA Version control and code review systems Python/Bash Continuous integration systems     Our expectations   Master�s or Bachelor�s degree in Engineering, Telecommunications, Computer Science or Software Technology or equivalent education Experience in software configuration management Analytical skills Effective teamwork skills Good communication in English (both written and spoken)    
Project Manager;Scrum Master;     Nokia Wroc�aw / Oferty pracy    Scrum Master    Position description and career opportunities Radio Frequency Software department is looking for a�motivated Scrum Master. We�are a�part of Nokia Radio Frequency and Advanced Antennas organization. RF Software is responsible for creating radio products� software for all radio access technologies, including LTE and 5G. We�are divided into self-organizing teams working in Agile environment. Our products are developed mainly in C++ on several software architecture layers, including those close to�hardware, as well as on higher levels of abstraction. We�are also responsible for our products� integration throughout the whole product life cycle, which is performed in the automated Continuous Integration environment. A�common and clearly defined vision, open communication and a�deep passion for innovation are the features that best describe our work environment and its unique atmosphere. We�believe these are the values that shape the future of technology. Scrum Master is mainly responsible for:�  supervising the progress of current sprint and taking actions when needed, ensuring timely realization of sprint content and high level of product quality facilitating Scrum events: backlog refinement, sprint planning, daily Scrum, review, retrospective providing directions and support for Product Owner and development teams around processes, operations and tools contributing to�evolution of processes, focusing on software development efficiency proposing and leading improvement projects and initiatives working with other Scrum Masters to�increase the effectiveness of the application of Scrum in the organization planning Scrum implementations within the organization     Our expectations   BSc or MSc degree in Computer Science, Telecommunications, Software�Engineering or similar very good understanding of principles of Agile software development very good knowledge of Scrum framework experience in estimation and task planning ability to pose far-reaching goals and achieving them step by step good experience in JIRA proven track record in team leading problem solving skill ability to influence without authority excellent communication skills servant style of leadership following the philosophy of Kaizen attention to details fluent English, both spoken and written     Bonus points   professional Scrum Master II certificate Scaled Professional Scrum certificate knowledge about Nexus framework experience in scaled Scrum driven projects knowledge about other Agile Methodologies (DAD, SAFe, LeSS, Kanban) proven experience in programming or software testing experience in large and highly complex work environment    
Other;Interoperability Engineer;     Nokia Wroc�aw / Oferty pracy    Interoperability Engineer    Daily activities You will be working on Network and Device Interoperability projects in variety of technologies (GSM, UMTS, LTE, 5G) utilizing one of the best equipped telecom laboratory environment in Poland. Your scope of work will include daily cooperation with project managers in planning activities and testing between Nokia RAN (5G, eNodeB, RNC, BSC) and Core Network (MSS, SGSN, MME, S/P-GW, TAS, HLR/HSS, IMS)�elements and�other vendors� (Ericsson, Huawei, etc.)�network infrastructure. In addition you will be assisting Nokia R&D in new cutting edge telecom features implementation by�verification of latest Nokia functionalities. You will have a�key role in interoperability feature analysis�for upcoming Nokia SW releases as well as test cases design. You will be driving customer satisfaction by�solving problems with interworking issues�found in operators� live networks leading to�quality of Nokia products improvement. �    We work with   UE vendors and telecommunication operators from all over the world Both Cloud and Bare metal RAN/Core Network elements Latest telecom features including CAT-M and NB-IOT Most recent commercially available smartphone devices Device logs tracing tools like QXDM Wireshark JIRA Quality Center     Our expectations   Master�s or Bachelor�s degree in Engineering, Telecommunications, Computer Science, Software Technology or equivalent education strong debugging skills and log analysis abilities related to Core Network and/or Radio Access Networks elements experience in at least one of the following areas:  protocols and signaling messages on RAN / Core Network related interfaces (S1, X2, Iu-PS, Iu-CS, Gb, etc.) testing of a related scenario and troubleshooting of call processing related issues (Radio Resource Management, Packet Scheduling, Admission Control and/or Mobility procedures etc)   experience in the integration, troubleshooting of Nokia products including but not limited to RNC, NodeB, eNB, MME, S-PGW, HSS, CSCF, HLR, SGSN is an advantage familiarity with telecommunication open standards (3GPP, IETF, ETSI) is a plus fluent communication in English (both written and spoken)    
Other;Technical Writer;     Nokia Wroc�aw / Oferty pracy    Technical Writer    Daily activities You will create technical documentation of Nokia radio technology products. Your role will be studying and clarifying technical concepts with product designers and developers. You will create operating instructions, installation manuals, and many other types of procedures needed for our customers, so that they can efficiently operate our products. You will analyze and manage existing and potential content, focusing on reuse and single-sourcing opportunities. Your high-quality designed product documentation should meet applicable Nokia standards, which are defined by�our team, here in Wroclaw.    We work with   Oxygen XML, HTML, CSS DITA JIRA     Our expectations   Master�s or Bachelor�s degree in technical university (not only IT or telecommunications) interest in both technical writing and mobile telecommunications systems disciplined and focused on details problem-solving mind initiative-orientated person fluent in spoken and written English  �   
Other;BTS Linux Distribution Maintainer;     Nokia Wroc�aw / Oferty pracy    BTS Linux Distribution Maintainer    Daily activities We�all know Debian, Arch and Gentoo running on millions of PC class computers. Nokia has done however something much more fascinating. This is our recipe: take high performance SoC, add specialized hardware accelerators, and finally prepare custom tailored Linux distribution to�get full performance out of the hardware. These create host environment for applications which can turn it all into cutting edge WCDMA, LTE or eventually 5G base station. As BTS Linux distribution maintainer you will work on ensuring that Nokia BTSes use the right open source tools versions which optimize feature set, performance and security aspects.    We work with   Bash, Python GCC, Clang Linux Yocto/Bitbake JIRA Version control and code review systems Continuous Integration systems     Our expectations   Master�s or Bachelor�s degree in Engineering, Telecommunications, Computer Science, Software Technology or equivalent education fluency in Linux shell scripting experience with package management systems (deb, rpm, or similar) fluency in Version Control System tools (svn, git) and build systems (make or similar ones) experience with Continuous Integration systems knowledge of open source community way of working positive attitude, problem-solving skills, ability to learn quickly, sense of humor good communication in English (both written and spoken) ready to relocate to Wroclaw, living in or nearby  �Don�t see a technology you love? Tell us why we should know about it!   
Project Manager;Product Owner for SCM;     Nokia Wroc�aw / Oferty pracy    Product Owner for SCM    Position description and career opportunities In Wroclaw Software Configuration Management department:  We�take care about build and release processes We�set up, improve and maintain Continuous Integration systems for automatic build, deliver and release processes We�develop and maintain build systems We�deploy cloud computing for SW building We�work at all levels of BTS SW development and we�support product environments for all HW architectures used in LTE & WCDMA & developing 5G SCM support model.  Product Owner is mainly responsible for:  Backlog management for SCM team Leading Scrum ceremonies: backlog refinement, sprint planning, daily meeting, retrospective etc. Committing sprint content towards internal customer (development team) on behalf of SCM team Executing the Annual Execution Plan items, Monitoring process KPIs Supervising the progress of current sprint and taking actions when needed, ensuring timely realization of sprint content and high level of product quality Assuring capacity allocation for development & maintenance in close cooperation with internal stakeholders Building team�s Way of Working Providing directions and support for team members in the areas of processes and operations Contributing to�evolution of internal processes     Our expectations   Very good knowledge of agile methodology Proven experience in IT Experience in estimation and task planning Understating of project management aspects Excellent communication skills Fluent English, both spoken and written     Bonus Points   Experience in Continuous Integration & Software Configuration Management area (e.g Linux, Scripting languages, Version Control Systems, Build configuration, compilers, parallel compiling) Knowledge of software development processes and tools Basic project management experience    
Backend;Python Developer;     Nokia Wroc�aw / Oferty pracy    Python Developer    Daily activities: You have unique opportunity to�be part of teams of experts developing the telecommunication systems deployed worldwide.  In everyday work, you will plan, design, review and maintain Python based applications and solution. You will be responsible for create brand new Python-based solutions as well as debugging, isolation and resolving of issues. In your role, you will work in close co-operation to�local project people, as well as remote stakeholders.    We work with   Bash, Python Continuous Integration tools telecommunication systems 2G/3G/4G/5G IP networks UNIX or/and Linux cloud computing automation framework     Our expectations   Master�s or Bachelor�s degree in Engineering, Telecommunications, Computer Science, Software Technology or equivalent education knowledge of software development methodologies and lifecycle at least intermediate level of scripting skills in Python familiarity with Python coding principles and good practices ability to code algorithms and applications using Object Oriented Programming basic experience Continuous Integration systems with CI tools (using i.e. Jenkins, Team City, Bamboo) basic experience in working with software versioning and revision control systems basic experience in TDD methodology basic knowledge in SW testing techniques and methodologies will be advantage. practical experience in working on Linux OS using terminal. experience in writing scripts in Python IDEs (i.e. PyCharm, PyScripter, PyDev, vim) expertise in TCP/IP programming, IP networks knowledge about basics of mobile networks systems will be advantage analytical thinking teamwork skills good communication in English (both written and spoken) ready to relocate to Wroclaw, living in or nearby  If you are not meet all our expectations, it does not matter if you are quickly learner!   
Backend;Senior Java / Python Engineer;     Nokia Wroc�aw / Oferty pracy    Senior Java / Python Engineer    Daily activities: Join us and enjoy best software craftsmanship practices such as OO design principles, clean code, code review, pair programming and test-driven development. We�create products which are helping telecom operators to�manage their networks in a�cutting-edge way. Together we�can make operator�s life easier! You will be on the driver seat position, you decide on how and agree on what. You will guide technically others having the key role in shaping the way our product develops. You will make sure that architectural proposals support rapidly growing telecom networks and fulfill our customer�s needs. We�have a�variety of opened positions for professionals. The more experienced you are, the greater opportunities you have.    We work with   Python, Java SE (Java EE as an advantage) Celery, SQLAlchemy, uWSGI Spring, GWT SQL, Redis Linux/Unix JUnit, Mockito Maven Tomcat, NGINX GIT Django JIRA, Confluence, Bamboo, Stash     Our expectations   Master�s or Bachelor�s degree in Engineering, Telecommunications, Computer Science, Software Technology or equivalent education practical experience in commercial Java and/or Python coding with proven track record and willingness to work with both can organize architecture by explaining user stories with the source code can wrap user stories into the feature modules that we ship separately ability to replace technologies over time analytical thinking skills teamwork skills good communication in English (both written and spoken) ready to relocate to Wroclaw, living in or nearby    
Backend;Java / Python Engineer;     Nokia Wroc�aw / Oferty pracy    Java / Python Engineer    Daily activities: Join us and enjoy best software craftsmanship practices such as OO design principles, clean code, code review, pair programming and test-driven development. We�create products which are helping telecom operators to�manage their networks in a�cutting-edge way. Together we�can make operator�s life easier! As a�SW Engineer you will:  design new functionalities in cooperation with specifications specialist implement new features maintain existing codebase (refactoring, bug fixing) test at unit, module and integration level work with scrum team members in accordance with best agile practices cooperate with Nokia�s worldwide experts interact with the customer  We�have a�variety of opened positions for candidates with wide range of work experience � from fresh graduates to�highly experienced professionals, with hardware and software background. The more experienced you are, the greater opportunities you have.    We work with   Python, Java SE (Java EE as an advantage) Celery, SQLAlchemy, uWSGI Spring, GWT SQL, Redis Linux/Unix JUnit, Mockito Maven Tomcat, NGINX GIT Django JIRA, Confluence, Bamboo, Stash     Our expectations   Master�s or Bachelor�s degree in Engineering, Telecommunications, Computer Science or Software Technology or equivalent education practical experience in commercial Java and/or Python coding and willingness to work with both familiar with SW development life cycle practical knowledge of design patterns analytical thinking skills teamwork skills good communication in English (both written and spoken) ready to relocate to Wroclaw, living in or nearby    
Devops;DevOps Engineer for Cloud;     Nokia Wroc�aw / Oferty pracy    DevOps Engineer for Cloud    Daily activities You will be a�member of a�scrum team consisting of programmers and DevOps engineers, developing cloud based automation solutions. You will have an overall responsibility for coding platform and application components. The work may involve creation of new software as well as usage of 3rd party off-the-shelf software products to�modify and integrate them into the solution. You will closely cooperate with domain experts, solution architects and delivery teams. You will have a�responsibility for sharing knowledge in your own expertise area and giving input to�process development, performing problem isolation and resolution. You will apply knowledge and experience to�determine the root cause. You will work in a�flexible, collaborative and friendly agile environment with a�wide range of modern technologies giving you the opportunity to�constantly develop your skills. �    We work with   most advanced cloud based methodologies and technologies in Agile SW development Docker and Mesosphere stack Continuous Integration (e.g. Jenkins, Git, Crucible/Fisheye) installation automation framework (Ansible) Bash and Python Cloud know-how of AWS REST APIs distributed databases and K/V stores (e.g. Cassandra, Redis, ElasticSearch HBase, CouchDB, Neo4J, Galera) OpenStack and Eucalyptus cloud environments Scala and Apache Spark framework     Our expectations   advanced knowledge of Unix-based systems knowledge of protocols, i.e. IP, routing, SOAP & REST, WebSockets, DNS, LDAP, ODBC database administration (e.g. Cassandra, MongoDB, PostgreSQL) good knowledge/experience in Docker basic knowledge of installation automation framework (Ansible) coding skills in Python, Bash understanding of hardware and its impact on performance in cloud environment (is an advantage) bonus points for experience in any of the technologies we work with (see above) effective and open communication ability to work in a global team, good interpersonal and teamworking skills responsible, well organized, committed and result oriented analytical thinking creativity problem understanding and solving good communication in English (both written and spoken) ready to relocate to Wroclaw, living in or nearby  Don�t see a technology you love? Tell us why we should know about it!   
Devops;DevOps Engineer for Embedded Systems;     Nokia Wroc�aw / Oferty pracy    DevOps Engineer for Embedded Systems    Daily activities You will be involved in the development and maintenance of the SW (including build system and build process) for one of the newest radio software platform. Your scope of work will include keeping Linux and tools up to�date and managing Linux distribution and software packaging. You will develop test environment (emulators, test automation) and optimize the development tools. On the daily basis, you will have a�chance to�cooperate with other developers, architects and integration teams.    We work with   C++11/14/17 GCC, Clang Linux Yocto/Bitbake Testing frameworks JIRA Version control and code review systems Continuous integration systems  � �    Our expectations   Master�s or Bachelor�s degree in Engineering, Telecommunications, Computer Science, Software Technology or equivalent education good�knowledge of�Yocto proficiency in Python, Bash knowledge of�Git, Gerrit,�CMake,GNU Make practical experience in Linux knowledge of�Clangtoolset (compiler, clang-tidy, clang-format) coding skills in�C and C++ language expertise in algorithm optimization, code profiling and in analysis of memory usage violations analytical thinking teamwork skills good communication in English (both written and spoken) ready to relocate to Wroclaw, living in or nearby  Don�t see a technology you love? Tell us why we should know about it!   
Project Manager;Build Coordinator;     Nokia Wroc�aw / Oferty pracy    Build Coordinator    Position description and career opportunities In Wroclaw Software Configuration Management department:  We�take care about build and release processes We�set up, improve and maintain Continuous Integration systems for automatic build, deliver and release processes We�develop and maintain build systems We�deploy cloud computing for SW building We�work at all levels of BTS SW development and we�support product environments for all HW architectures used in LTE & WCDMA & developing 5G SCM support model.     Job Description:  Build Coordinator is mainly responsible for:�  Delivering the release content on time for program  internal communication with all respective stakeholders new branches creation, production according to correction policy drives for continuous improvements and build system (e.g. build duration)�   Ensures in-time delivery of announced content (Features + bugfixes) If delays are inevitable, communicates the delays in-time to the external stakeholders Ensures that all releases are quality checked Manages content of branches (in cooperation with Fault Coordinators) and defines target branches for corrections in accordance with correction policies Identify changes in sources or CI configuration that caused failure and contact responsible person Check test lines after failed tests � gathering and checking logs, identify software or hardware issues  �    Requirements:   Knowledge of software development lifecycle Linux / Unix knowledge Ability to work with different teams at different locations toward task completion Excellent communication skills Excellent team player Fluent spoken and written English     Bonus points:   Version control system knowledge (GIT / SVN) Software Configuration Management area knowledge               
Support;R&D SCM Linux Engineer;     Nokia Wroc�aw / Oferty pracy    R&D SCM Linux Engineer    Position description and career opportunities The everyday work for SCM Linux Engineer role is about software integration � a�process done by�the automated systems which put together all the changes in project source code delivered by�the developers. The person in this role constantly improves and automates the integration process and the tools used to�achieve highest levels of reliability and completion time. The tools we�re developing to�support our projects are being created mainly on Linux platform therefore a�working knowledge about advanced Linux / Unix administrative topics is crucial in this role. R&D SCM Linux Engineer is mainly responsible for:  automatization of building tools operational availability of Continuous Integration flow implementation/maintenance of build systems design and implementation of tools supporting software engineers problems investigation and root cause analysis     Our expectations   advanced knowledge of Linux / Unix platforms experience in at least one scripting language such as Bash or Python experience with package management systems (rpm, deb) good experience with Version Control Systems (GIT / SVN / ..) experience with software build systems, make experience with Continuous Integration system excellent team player fluent spoken and written English     Bonus points   experience with cloud based applications, multi-threaded design and parallel/distributed computing. Yocto project awareness knowledge of open source community way of working    
Testing;Test Automation Engineer;     Nokia Wroc�aw / Oferty pracy    Test Automation Engineer    Daily activities: You have unique opportunity to�be part of teams of experts developing the telecommunication systems deployed worldwide. In everyday work, you will plan, design, review, execute and maintain tests focused on automated scenarios. You will be responsible for debugging, isolation and resolving of issues. You will have a�chance to�apply knowledge and experience to�determine failure�s root cause. In your role, you will work in close co-operation to�local project people, as well as remote stakeholders. You will interact with telecommunication systems both SW and/or HW areas depending on projects. We�have a�variety of opened positions for candidates with wide range of work experience � from fresh graduates to�highly experienced professionals, with hardware and software background. The more experienced you are, the greater opportunities you have.    We work with   Perl, Bash, Python telecommunication systems 2G/3G/4G/5G IP networks UNIX or/and Linux advanced measurement equipment cloud computing Continuous Integration tools automation framework     Our expectations   Master�s or Bachelor�s degree in Engineering, Telecommunications, Computer Scienc, Software Technology or equivalent education knowledge of software and/or hardware testing processes and tools familiarity with some of following areas: Linux, IP networks, telecommunication systems, radio frequency technologies and measurements scripting skills in one of following languages: Python (Recommended), Perl, Bash or TCL ability to code simple algorithms based on functions analitical thinking teamwork skills good communication in English (both written and spoken) ready to relocate to Wroclaw, living in or nearby  � If you are not meet all our expectations, it does not matter if you are quickly learner!   
Testing;Senior Test Automation Engineer;     Nokia Wroc�aw / Oferty pracy    Senior Test Automation Engineer    Daily activities: You have unique opportunity to�be part of teams of experts developing the telecommunication systems deployed worldwide. In everyday work, you will plan, design, review, execute and maintain tests in own area including automated scenarios. You will be also involved in new features creation process from testers perspective by�preparing integration plans and feature implementation aspects with close cooperation with specification and development departments. You will be responsible for debugging, isolation and resolving of issues. You will have a�chance to�apply knowledge and experience to�determine failure�s root cause. In your role, you will work in close co-operation to�local project people, as well as remote stakeholders. You will interact with telecommunication systems both SW and/or HW areas depending on projects    We work with   Perl, Bash, Python telecommunication systems 2G/3G/4G/5G IP networks UNIX or/and Linux advanced measurement equipment cloud computing Continuous Integration tools automation framework     Our expectations   Master�s or Bachelor�s degree in Engineering, Telecommunications, Computer Science, Software Technology or equivalent education extensive knowledge of software and/or hardware testing processes and tools 3+ years proven experience in software and/or hardware testing or test automation intermediate level of scripting skills in one of following languages: Python (Recommended), Perl, Bash or TCL ability to code algorithms using Object Oriented Programming proven experience in building and managing Continuous Integration systems with CI tools (using i.e. Jenkins, Team City, Bamboo) expertise in at least three of following areas: Linux, IP networks, telecommunication systems, radio frequency technologies and measurements proven contribution to SW and/or HW specification process analitical thinking teamwork skills good communication in English (both written and spoken) ready to relocate to Wroclaw, living in or nearby    
Testing;Senior Integration and Testing Engineer;     Nokia Wroc�aw / Oferty pracy    Senior Integration and Testing Engineer    Daily activities: You have unique opportunity to�be part of the teams of experts developing the telecommunication systems deployed worldwide. In everyday work, you will plan, design, review, execute and maintain tests in own area. You will be also involved in new features creation process from testers perspective by�preparing integration plans and feature implementation aspects with close cooperation with specification and development departments. You will be responsible for debugging, isolation and resolving of issues. You will have a�chance to�apply knowledge and experience to�determine failure�s root cause. In your role, you will work in close co-operation to�local project people, as well as remote stakeholders. You will interact with telecommunication systems both SW and/or HW areas depending on projects.    We work with   Perl, Bash, Python telecommunication systems 2G/3G/4G/5G IP networks UNIX or/and Linux advanced measurement equipment cloud computing     Our expectations   Master�s or Bachelor�s degree in Engineering, Telecommunications, Computer Science, Software Technology or equivalent education  extensive knowledge of software and/or hardware testing processes and tools 3+ years of proven experience in software and/or hardware testing expertise in at least three of following areas: Linux, IP networks, telecommunication systems, radio frequency technologies and measurements proven advanced testing scripts applications will be a bonus experience in test optimization (including automation) proven contribution to SW and/or HW specification process teamwork skills analitical thinking problem solving skills good communication in English (both written and spoken) ready to relocate to Wroclaw, living in or nearby    
Testing;Integration and Testing Engineer;     Nokia Wroc�aw / Oferty pracy    Integration and Testing Engineer    Daily activities: You have unique opportunity to�be part of the teams of experts developing the telecommunication systems deployed worldwide. In everyday work, you will plan, design, review, execute and maintain tests in own area. You will be responsible for debugging, isolation and resolving of various issues. You will have a�chance to�apply knowledge and experience to�determine failure�s root cause. In your role, you will work in close co-operation to�local project people, as well as remote stakeholders. You will interact with telecommunication systems both SW and/or HW areas depending on projects. We�have a�variety of opened positions for candidates with wide range of work experience � from fresh graduates to�highly experienced professionals, with hardware and software background. The more experienced you are, the greater opportunities you have.    We work with   Perl, Bash, Python telecommunication systems 2G/3G/4G/5G IP networks UNIX or/and Linux advanced measurement equipment cloud computing     Our expectations   Master�s or Bachelor�s degree in Engineering, Telecommunications, Computer Science, Software Technology or equivalent education knowledge of software and/or hardware testing processes and tools (ISTQB is an advantage) familiarity with some of following areas: Linux, IP networks, telecommunication systems, radio frequency technologies and measurements, scripting analytical thinking teamwork skills good communication in English (both written and spoken) ready to relocate to Wroclaw, living in or nearby  � If you are not meet all our expectations, it does not matter if you are quickly learner!   
Testing;HW Integration Test Engineer;     Nokia Wroc�aw / Oferty pracy    HW Integration Test Engineer    Daily activities You will be working with state of the art test measurement equipment and technologies such as high-speed interfaces (Ethernet 1G/10G/25G/40G, CPRI), various serial buses, microprocessor debuggers, DDR memory testing, verification of complex ASICs and FPGA�s. To�test complex HW we�also need know-how on SW integration and coding in Python and other scripting languages.    We work with   Python Measurement devices Linux Testing frameworks JIRA/Pronto Version control and code review systems     Our expectations   Master�s or Bachelor�s degree in Engineering, Telecommunications, Computer Science, Software Technology or equivalent education experience in digital HW / Embedded systems/ low level SW proficiency in script / programming languages (e.g. Python/Shell/Tcl, Bash, C) experience in hardware / software integration / system testing / test automation measurement equipment�s knowledge such as logic analyzers, high speed oscilloscopes, microprocessor debuggers manual capability in handling of electronic boards (modifications including soldering in lab) familiar with high speed interfaces used in telecommunication technology (Ethernet, CPRI) experience with serial buses (IIC, SPI, USB) problem solving skills good communication in English (both written and spoken)  Don�t see a technology you love? Tell us why we should know about it!   
Full stack;Full Stack Engineer;     Nokia Wroc�aw / Oferty pracy    Full Stack Engineer    Daily activities Our products help you provide the security and privacy that IoT, big data and cloud services demand while meeting high performance requirements. With our security products, you can take advantage of intelligence that combines efficient correlation, machine learning engines and analytics. Be a�part of a�team to�build a�security ecosystem that helps to�secure networks with best-in-class security solutions tailored for communication infrastructure requirements. We�continuously optimize our solutions and services to�provide specific answers to�security threats. As a�full stack engineer you will:  write maintainable code, refactors as you go, and minimizes technical debt work on both frontend and backend areas � working with Java, AngularJS&TypeScript, HTML&CSS DevOps area, integration and deployment tasks using various infrastructure technologies, like Dockers, microservices, ELK stack, Ansible provide engineering designs and driving high code quality participate in feature analysis, challenge for new solutions and approaches contribute to�all levels of the architecture be a�part of feature team     We work with   AngularJS Java, Spring C++ LogStash, ELK stack Jenkins, Sonar, Gradle, Git, Jira IntelliJ Python, Bash     Our expectations   Master�s or Bachelor�s degree in Engineering, Telecommunications, Computer Science, Software Technology or equivalent education solid experience with Java/AngularJS and other technologies hands-on experience with Dockers & microservices comfortable with Linux command line and shell scripting security domain knowledge would be a nice add-on analytical thinking skills teamwork skills good communication in English (both written and spoken) ready to relocate to Wroclaw, living in or nearby   Don�t see a technology you love? Tell us why we should know about it!   
Frontend;JavaScript Software Engineer;     Nokia Wroc�aw / Oferty pracy    JavaScript Software Engineer    Daily activities: As a�JavaScript Software Engineer you will be responsible for developing our complex web interface application (over 500k LOC) written as advanced Single Page Application. You will work in latest Nokia�s product that combines 2G/3G/4G radio access technologies into one � SingleRAN for flagship network devices! The challenges you will face include working with specification, applying UX designs, implementing features and maintaining software. You will work with team which applies good development practices, implementing well optimized and design code in TDD improving your programming skills via code review.    We work with   Angluar 1.x ES6 js Less Mocha/Karma/Selenium Websocket Webpack     Our expectations   Master�s or Bachelor�s degree in Engineering, Telecommunications, Computer Science, Software Technology or equivalent education strong programming skills in JavaScript experience with AngularJS 1.x and Node.js experience with writing unit and E2E tests ability to write well optimized and testable code familiar with web technologies experience in GIT version control system basic experience in working with Linux-based platforms passion to constantly learn new things analytical thinking skills teamwork skills good communication in English (both written and spoken) ready to relocate to Wroclaw, living in or nearby   Don�t see a technology you love? Tell us why we should know about it!   
Frontend;Node.JS Software Engineer;     Nokia Wroc�aw / Oferty pracy    Node.JS Software Engineer    HetRan MBB is looking for motivated software professionals for Node.JS Software Engineer positions. You will work in latest Nokia�s product that combines 2G/3G/4G radio access technologies into one � SingleRAN for flagship network devices. As Node.JS Software Engineer you will be responsible for developing server-side logic for our complex web interface application (over 500k LOC) written as advanced Single Page Application.� The challenges you will face include work with specification, applying UX designs, implementing features and maintaining software. You will work with team which applies good development practices, implementing well optimized and design code in TDD improving your programming skills via code review.    Our expectations   Bachelor�s degree in Engineering, Telecommunications, Computer Science or equivalent education solid experience with Node.JS solid programming experience with JavaScript (ECMAScript 5/6) experience building out RESTful APIs� ability to write well optimized and designed code experience with Single Page Applications experience�with testing frameworks and task runners experience with Git�version control networking basics good communication in English readiness to relocate to Wroclaw     Bonus points   experience with Continuous Integration comfortable with Linux SW development methodologies (Agile, SCRUM) cellular and broadband 3G or 4G access technologies (UMTS, LTE)    
Mobile & Embedded;UML System Engineer;     Nokia Wroc�aw / Oferty pracy    UML System Engineer    Daily activities You will be responsible for specifying, planning, reporting, designing and reviewing technical area (e.g. system component). You will lead and execute technical activities and programs within own responsibility area including reviews and relevant technical studies. Daily basis you will write requirements, specifications and other guiding documentation for R&D from product/program/system point of view. You will high contribute to�project milestones by�solving/avoiding most complex problems, through understanding dependencies across product / system boundaries.    We work with   UML, MSC TDD SOA JIRA Magic Draw DOORS     Our expectations   Master�s or Bachelor�s degree in Engineering, Telecommunications, Computer Science or Software Technology or equivalent education knowledge and skills within the area of SW designing methods or system engineering (e.g. UML, MSC, use cases, scenarios, user stories, etc.) experience in SW engineering (development, design or analysis) knowledge and experience in system design and requirement engineering knowledge of telecommunication area good communication in English (both written and spoken)  � �   
Mobile & Embedded;Telecom Network Administrator;     Nokia Wroc�aw / Oferty pracy    Telecom Network Administrator    Position description and career opportunities We, System R&D and tools� � Lab service delivery team is working on telecom operator like environment using Nokia products based on� ATCA and Cloud platform. We�have more than 800 Nokia products used to�build E2E real call network which will be used for 4G , IOT R&D testing and 5G product evaluation. Our team spread over globally with strength of 300+ experts and is still growing. �We�are supporting more than 600+ R&D projects globally. Our labs are build with latest tracing and analyzing tools which help us to�find precise information about issues. As a�Nokia Network Administrator for E2E telecommunication testing environments, you are responsible to�provide professional technical support on test-bed bring up, configuration, integration and operation & maintenance of Nokia Networks Telecom products for R&D testing, Interface level troubleshooting as per 3GPP specification.    Our expectations   knowledge with any of the telecom product from any Vendor knowledge on IP Networking experience in Linux operating system knowledge on any one of 2G, 3G or 4G technologies knowledge and experience with telecom protocols open-mindedness and ability to think outside the box good communication in English     Bonus points   experience on Cloud computing �vmware, openstack experience on IP Networking knowledge and experience with Wireshark, Nokia internal analyzing tools presentation skills    
Mobile & Embedded;System Engineer, Base Station;     Nokia Wroc�aw / Oferty pracy    System Engineer, Base Station    Position description and career opportunities We�are looking for motivated System Engineers to�Architecture and Specification team in our location in Wroclaw. The candidate to�this position will have next responsibilities:   Analyze BTS feature requirement Work with technical leaders in requirement development process Design the split of functionalities between software components within the BTS Provide BTS feature analysis report and feasibility basing on the current HW & SW architecture, analyze the impact to�SW and HW components Based on defined BTS requirements, specifying detailed BTS functionalities and behaviors, defining the BTS component level requirement and allocate proper functionalities to�those components Provide qualified BTS specifications to�SW implementation team and I&V teams  As System Engineer for Base Station you will be a�part of local specification team, however the daily work will be performed within the international team of system architects, technical managers, product managers, software engineers and integration engineers. This position gives you an opportunity to�improve your technical skills in Base Station Architecture and specification area, grow and learn how to�work in an international company.    Our expectations   Bachelor or equivalent education in Computer Science, Telecommunications or other corresponding area knowledge of one of wireless technologies (LTE, WiMAX, WCDMA, TD-SCDMA, HSPA etc.) good understanding in radio system architecture good knowledge of software design techniques (e.g. UML, MSC, etc.) very good level in English, both written and spoken analytical skills problem solving skills passionate and inspired to work in multicultural environment decision making, planning and organizing openness and communication skills quality orientation and learning agility capability to handle pressure flexibility and creativity     Bonus points   familiarity with 3GPP standards experience in SW engineering (development or design or analysis)    
